loan_id,customer_id,customer_name,gender,country,state,age,income,employment_type,credit_score,loan_amount,interest_rate,loan_term,loan_type,loan_status,origination_date,employment_type_duplicate
L000064,C000064,Andrew Martinez,Male,USA,Mississippi,21,111537.0,Salaried,599.0,13767,11.0,180,Home Equity,Current,2022-01-22,Salaried
L000065,C000065,Robert Garcia,Male,USA,Utah,25,100655.0,Salaried,808.0,202477,4.58,240,Personal,Paid Off,2026-07-09,Salaried
L000066,C000066,Michelle Perez,Female,USA,New Mexico,50,96101.0,Part-Time,658.0,39093,4.85,240,Personal,Current,2025-03-30,Part-Time
L000067,C000067,Charles Jackson,Male,USA,Pennsylvania,38,70407.0,Salaried,522.0,290115,5.91,60,Student,Current,2023-12-27,Salaried
L000068,C000068,Elizabeth Thompson,Female,USA,Nevada,65,173162.0,Government,699.0,56943,5.78,84,Mortgage,Delinquent,2023-11-28,Government
L000069,C000069,Thomas Garcia,Male,USA,Nevada,57,104528.0,Salaried,564.0,134934,17.17,240,Mortgage,Paid Off,2025-08-22,Salaried
L000070,C000070,Lisa Jackson,Female,USA,North Carolina,59,80430.0,Salaried,682.0,309313,15.0,72,Student,Delinquent,2018-01-21,Salaried
L000071,C000071,Susan Moore,Female,USA,Minnesota,32,75701.0,Self-Employed,726.0,402463,7.77,120,Home Equity,Paid Off,2026-08-12,Self-Employed
L000072,C000072,Joshua Martin,Male,USA,Michigan,54,53575.0,Salaried,610.0,469802,15.25,240,Mortgage,Delinquent,2026-05-22,Salaried
L000073,C000073,David Moore,Male,USA,Connecticut,65,82656.0,Salaried,578.0,90526,14.58,36,Mortgage,Current,2021-10-31,Salaried
L000074,C000074,Jessica Davis,Female,USA,New Jersey,34,137487.0,Salaried,744.0,490895,8.33,48,Home Equity,Current,2025-11-03,Salaried
L000075,C000075,Patricia Taylor,Female,USA,Oklahoma,58,44062.0,Salaried,591.0,338013,3.45,24,Personal,Paid Off,2021-03-30,Salaried
L000076,C000076,Barbara Jones,Female,USA,Texas,36,73485.0,Salaried,639.0,90647,3.13,60,Student,Current,2020-07-18,Salaried
L000077,C000077,Michelle Smith,Female,USA,Colorado,62,40621.0,Government,500.0,488269,7.88,360,Student,Delinquent,2018-02-01,Government
L000078,C000078,Paul Moore,Male,USA,Iowa,31,52901.0,Salaried,766.0,403822,3.68,240,Mortgage,Current,2024-11-27,Salaried
L000079,C000079,Charles Williams,Male,USA,New Hampshire,53,43634.0,Unemployed,550.0,211780,4.82,360,Student,Foreclosed,2018-07-21,Unemployed
L000080,C000080,William Taylor,Male,USA,Indiana,35,57736.0,Salaried,728.0,391924,6.82,12,Home Equity,Current,2020-04-04,Salaried
L000081,C000081,Jessica Johnson,Female,USA,Oregon,68,95912.0,Salaried,544.0,151419,5.69,60,Home Equity,Current,2019-02-21,Salaried
L000082,C000082,Sarah Martin,Female,USA,Utah,62,125873.0,Part-Time,598.0,389697,5.17,120,Personal,Paid Off,2022-07-29,Part-Time
L000083,C000083,Paul Taylor,Male,USA,New Hampshire,30,105875.0,Salaried,571.0,156294,6.93,360,Auto,Delinquent,2019-06-17,Salaried
L000084,C000084,James Anderson,Male,USA,Georgia,23,88957.0,Unemployed,786.0,473286,14.05,72,Personal,Current,2024-06-23,Unemployed
L000085,C000085,Joshua Thompson,Male,USA,Nebraska,31,68010.0,Salaried,584.0,440865,9.67,240,Personal,Default,2026-08-05,Salaried
L000086,C000086,William Garcia,Male,USA,Illinois,31,98383.0,Salaried,680.0,96016,12.95,180,Student,Foreclosed,2023-11-01,Salaried
L000087,C000087,Sandra Williams,Female,USA,Kentucky,36,41659.0,Salaried,822.0,311578,16.93,72,Personal,Current,2021-06-11,Salaried
L000088,C000088,Barbara Taylor,Female,USA,Pennsylvania,58,103750.0,Salaried,716.0,211662,3.02,360,Mortgage,Current,2020-12-05,Salaried
L000089,C000089,Nancy Perez,Female,USA,Massachusetts,50,147391.0,Salaried,796.0,108023,17.27,180,Personal,Current,2025-10-29,Salaried
L000090,C000090,Paul Smith,Male,USA,California,61,69430.0,Salaried,655.0,213664,7.19,72,Mortgage,Current,2018-11-05,Salaried
L000091,C000091,Richard Anderson,Male,USA,North Carolina,21,82500.0,Salaried,847.0,21919,7.31,360,Student,Current,2022-01-07,Salaried
L000092,C000092,Karen Anderson,Female,USA,Colorado,58,140265.0,Salaried,827.0,282542,12.44,36,Auto,Current,2019-12-25,Salaried
L000093,C000093,Lisa Brown,Female,USA,Ohio,70,110990.0,Salaried,564.0,235062,8.41,360,Student,Paid Off,2019-02-27,Salaried
L000094,C000094,Donna Miller,Female,USA,Montana,65,170182.0,Unemployed,642.0,418372,4.21,36,Mortgage,Current,2025-05-07,Unemployed
L000095,C000095,Sarah Thompson,Female,USA,Tennessee,54,63144.0,Salaried,841.0,175596,13.67,12,Personal,Current,2020-06-04,Salaried
L000096,C000096,Charles Jones,Male,USA,Alabama,39,110920.0,Government,730.0,13929,5.75,240,Mortgage,Current,2023-06-29,Government
L000097,C000097,Betty Rodriguez,Female,USA,Illinois,54,55826.0,Salaried,519.0,499433,16.94,120,Personal,Paid Off,2022-12-28,Salaried
L000098,C000098,John Lee,Male,USA,Idaho,56,54004.0,Salaried,832.0,153243,17.82,360,Auto,Default,2023-09-25,Salaried
L000099,C000099,James Anderson,Male,USA,Connecticut,24,160868.0,Self-Employed,691.0,415372,5.72,84,Personal,Current,2021-11-16,Self-Employed
L000100,C000100,Charles Johnson,Male,USA,South Dakota,30,172616.0,Part-Time,845.0,95347,14.31,60,Auto,Foreclosed,2020-12-03,Part-Time
L000101,C000101,Thomas Johnson,Male,USA,South Dakota,37,41102.0,Part-Time,794.0,314667,17.88,48,Mortgage,Default,2022-12-06,Part-Time
L000102,C000102,Margaret Martinez,Female,USA,New Jersey,36,95491.0,Self-Employed,634.0,255333,17.33,36,Mortgage,Current,2021-08-07,Self-Employed
L000103,C000103,Christopher Martin,Male,USA,New York,41,52869.0,Salaried,702.0,78082,11.47,36,Student,Default,2026-07-26,Salaried
L000104,C000104,Michael Taylor,Male,USA,Michigan,48,48150.0,Salaried,658.0,217669,7.68,180,Home Equity,Paid Off,2023-10-31,Salaried
L000105,C000105,Susan Jackson,Female,USA,Mississippi,28,117425.0,Self-Employed,661.0,497209,3.17,12,Home Equity,Current,2025-03-16,Self-Employed
L000106,C000106,James Taylor,Male,USA,New York,49,171628.0,Salaried,702.0,406171,16.47,48,Mortgage,Default,2019-11-16,Salaried
L000107,C000107,James Martinez,Male,USA,Michigan,26,58552.0,Part-Time,587.0,380434,3.53,180,Mortgage,Current,2018-05-17,Part-Time
L000108,C000108,Barbara Thompson,Female,USA,Arkansas,50,132145.0,Self-Employed,844.0,461828,11.65,180,Mortgage,Current,2021-12-03,Self-Employed
L000109,C000109,Robert Anderson,Male,USA,South Dakota,22,82396.0,Part-Time,550.0,158044,5.79,240,Personal,Delinquent,2022-06-30,Part-Time
L000110,C000110,William Rodriguez,Male,USA,Missouri,67,172535.0,Self-Employed,683.0,272411,6.63,180,Personal,Current,2021-04-11,Self-Employed
L000111,C000111,Daniel Wilson,Male,USA,Virginia,51,74623.0,Government,784.0,95885,3.35,36,Mortgage,Current,2018-06-01,Government
L000112,C000112,Andrew Jones,Male,USA,South Carolina,45,175482.0,Salaried,749.0,494132,3.55,60,Auto,Current,2022-03-05,Salaried
L000113,C000113,Elizabeth Rodriguez,Female,USA,Rhode Island,43,46351.0,Salaried,818.0,314529,8.25,360,Personal,Current,2022-07-11,Salaried
L000114,C000114,Michelle Martin,Female,USA,Louisiana,63,64388.0,Salaried,712.0,160798,16.16,48,Personal,Current,2022-07-20,Salaried
L000115,C000115,Karen Smith,Female,USA,Nebraska,41,44968.0,Self-Employed,788.0,461068,11.49,240,Home Equity,Current,2025-01-19,Self-Employed
L000116,C000116,Ashley Moore,Female,USA,New York,36,104259.0,Self-Employed,800.0,165664,11.07,48,Personal,Current,2025-12-29,Self-Employed
L000117,C000117,Kimberly Thompson,Female,USA,Washington,24,70596.0,Government,505.0,129380,12.3,48,Mortgage,Current,2020-10-31,Government
L000118,C000118,Matthew Smith,Male,USA,Missouri,63,143670.0,Government,536.0,230283,11.03,72,Personal,Paid Off,2020-03-25,Government
L000119,C000119,Jessica Jones,Female,USA,Connecticut,66,124168.0,Self-Employed,680.0,64226,7.56,120,Mortgage,Current,2025-04-13,Self-Employed
L000120,C000120,Barbara Thompson,Female,USA,Rhode Island,28,79544.0,Salaried,757.0,197393,16.2,36,Personal,Delinquent,2022-01-04,Salaried
L000121,C000121,Margaret Martinez,Female,USA,Utah,26,66225.0,Part-Time,605.0,57385,10.13,24,Auto,Current,2025-08-13,Part-Time
L000122,C000122,Barbara Martinez,Female,USA,Alaska,47,163435.0,Salaried,721.0,195042,14.29,120,Mortgage,Current,2021-03-06,Salaried
L000123,C000123,Matthew Anderson,Male,USA,Idaho,56,119274.0,Part-Time,812.0,293185,16.68,180,Auto,Default,2022-09-24,Part-Time
L000124,C000124,John Williams,Male,USA,Oklahoma,56,154228.0,Salaried,847.0,245391,3.06,84,Auto,Current,2026-06-07,Salaried
L000125,C000125,Michael Martin,Male,USA,Ohio,44,57436.0,Part-Time,616.0,107323,10.17,48,Home Equity,Current,2024-03-29,Part-Time
L000126,C000126,David Davis,Male,USA,Alabama,26,63085.0,Salaried,678.0,74747,12.07,84,Mortgage,Current,2022-02-05,Salaried
L000127,C000127,Sandra Martinez,Female,USA,New Hampshire,63,38896.0,Self-Employed,590.0,142058,10.54,24,Mortgage,Paid Off,2024-03-21,Self-Employed
L000128,C000128,Jennifer Miller,Female,USA,Michigan,53,43785.0,Salaried,649.0,499107,16.54,36,Home Equity,Paid Off,2022-01-27,Salaried
L000129,C000129,John Thomas,Male,USA,Nebraska,22,148459.0,Government,834.0,253968,17.1,240,Mortgage,Paid Off,2023-07-31,Government
L000130,C000130,Thomas Lee,Male,USA,Oregon,61,88385.0,Salaried,670.0,294779,5.01,24,Mortgage,Paid Off,2018-11-07,Salaried
L000131,C000131,Andrew Anderson,Male,USA,Colorado,36,116164.0,Government,793.0,441410,7.54,120,Auto,Delinquent,2022-03-11,Government
L000132,C000132,Matthew Anderson,Male,USA,New Mexico,58,83805.0,Salaried,691.0,110949,6.96,24,Home Equity,Current,2022-02-07,Salaried
L000133,C000133,Daniel Lee,Male,USA,Montana,29,160672.0,Government,536.0,499992,10.45,240,Auto,Current,2023-07-11,Government
L000134,C000134,Thomas Martin,Male,USA,Connecticut,25,99542.0,Salaried,599.0,354563,8.73,84,Auto,Current,2018-03-01,Salaried
L000135,C000135,Ashley Martin,Female,USA,Ohio,30,123136.0,Salaried,793.0,91048,8.39,24,Mortgage,Current,2019-12-21,Salaried
L000136,C000136,Joseph Martinez,Male,USA,Washington,50,141286.0,Part-Time,826.0,117439,11.01,24,Home Equity,Default,2024-01-07,Part-Time
L000137,C000137,John Garcia,Male,USA,Delaware,27,142905.0,Part-Time,530.0,159428,10.35,240,Auto,Foreclosed,2021-08-27,Part-Time
L000138,C000138,Nancy Smith,Female,USA,South Carolina,49,81279.0,Government,799.0,10084,9.98,36,Home Equity,Paid Off,2020-12-19,Government
L000139,C000139,Matthew Martin,Male,USA,Wyoming,22,149301.0,Unemployed,593.0,146168,4.7,36,Auto,Default,2020-12-25,Unemployed
L000140,C000140,Margaret Thomas,Female,USA,Louisiana,40,43950.0,Salaried,769.0,323244,11.09,72,Personal,Delinquent,2021-08-10,Salaried
L000141,C000141,Ashley Martin,Female,USA,New Hampshire,24,81901.0,Salaried,597.0,72596,3.88,240,Personal,Paid Off,2025-02-18,Salaried
L000142,C000142,David Davis,Male,USA,Delaware,48,87587.0,Salaried,551.0,330532,12.25,48,Mortgage,Current,2026-01-26,Salaried
L000143,C000143,James Moore,Male,USA,Washington,28,78284.0,Salaried,842.0,12463,12.35,180,Mortgage,Current,2018-12-23,Salaried
L000144,C000144,Joshua Lee,Male,USA,Nebraska,55,50038.0,Salaried,797.0,24709,6.91,240,Personal,Delinquent,2018-03-01,Salaried
L000145,C000145,Matthew Johnson,Male,USA,Utah,22,77567.0,Government,849.0,107758,5.03,60,Home Equity,Current,2024-04-14,Government
L000146,C000146,Andrew Moore,Male,USA,Kentucky,61,90037.0,Salaried,506.0,104126,14.97,120,Student,Paid Off,2021-04-08,Salaried
L000147,C000147,Nancy Moore,Female,USA,Virginia,48,81522.0,Salaried,745.0,285589,14.56,240,Personal,Current,2020-07-01,Salaried
L000148,C000148,Paul Thomas,Male,USA,California,31,65371.0,Self-Employed,517.0,491663,17.19,36,Mortgage,Current,2024-08-23,Self-Employed
L000149,C000149,David Anderson,Male,USA,Missouri,56,166819.0,Salaried,684.0,422951,9.69,360,Student,Current,2025-05-02,Salaried
L000150,C000150,Joshua Miller,Male,USA,Colorado,29,131837.0,Salaried,729.0,284434,7.73,180,Auto,Delinquent,2021-06-30,Salaried
L000151,C000151,Sarah Brown,Female,USA,Alabama,58,32966.0,Salaried,701.0,220778,7.54,48,Mortgage,Current,2023-07-27,Salaried
L000152,C000152,Steven Johnson,Male,USA,Indiana,21,124776.0,Unemployed,543.0,299212,5.7,36,Student,Current,2020-03-03,Unemployed
L000153,C000153,Donald Thomas,Male,USA,Maine,47,126447.0,Salaried,597.0,182841,8.25,180,Mortgage,Current,2018-01-17,Salaried
L000154,C000154,Joseph Thomas,Male,USA,North Carolina,23,103107.0,Part-Time,562.0,64044,4.92,48,Personal,Default,2023-08-01,Part-Time
L000155,C000155,Patricia Jackson,Female,USA,Hawaii,59,49391.0,Self-Employed,659.0,233396,16.08,72,Mortgage,Current,2018-04-24,Self-Employed
L000156,C000156,Michael Smith,Male,USA,Oklahoma,29,86965.0,Salaried,850.0,85324,8.2,360,Home Equity,Paid Off,2019-12-07,Salaried
L000157,C000157,Michelle Thomas,Female,USA,Tennessee,60,136688.0,Salaried,642.0,36553,11.21,84,Student,Current,2020-07-07,Salaried
L000158,C000158,Jessica Williams,Female,USA,Washington,48,132424.0,Government,501.0,163361,4.0,12,Student,Paid Off,2018-11-14,Government
L000159,C000159,William Miller,Male,USA,Oklahoma,41,50581.0,Unemployed,650.0,241317,7.21,12,Mortgage,Paid Off,2024-03-25,Unemployed
L000160,C000160,Jessica Miller,Female,USA,Indiana,48,133141.0,Salaried,522.0,271572,6.35,24,Home Equity,Current,2024-01-12,Salaried
L000161,C000161,David Brown,Male,USA,North Carolina,65,34025.0,Salaried,726.0,36611,16.3,240,Personal,Current,2022-08-07,Salaried
L000162,C000162,Susan Perez,Female,USA,Colorado,44,157242.0,Salaried,846.0,465325,5.7,360,Home Equity,Current,2019-12-07,Salaried
L000163,C000163,Susan Williams,Female,USA,Utah,38,67025.0,Salaried,781.0,212856,14.93,24,Auto,Delinquent,2026-06-23,Salaried
L000164,C000164,Jessica Smith,Female,USA,New Jersey,29,137381.0,Part-Time,740.0,211951,7.24,360,Auto,Delinquent,2022-12-09,Part-Time
L000165,C000165,James Thomas,Male,USA,Utah,46,99489.0,Salaried,640.0,132056,6.17,48,Auto,Paid Off,2024-01-24,Salaried
L000166,C000166,Barbara Wilson,Female,USA,New Mexico,44,48678.0,Salaried,667.0,172090,3.14,12,Home Equity,Paid Off,2019-03-25,Salaried
L000167,C000167,Anthony Brown,Male,USA,Louisiana,26,167389.0,Unemployed,615.0,361750,7.37,240,Home Equity,Delinquent,2019-06-16,Unemployed
L000168,C000168,David Jackson,Male,USA,Ohio,32,92348.0,Salaried,509.0,366789,4.05,360,Mortgage,Delinquent,2018-11-14,Salaried
L000169,C000169,James Miller,Male,USA,Wisconsin,56,100649.0,Self-Employed,666.0,419304,8.43,84,Personal,Current,2022-04-23,Self-Employed
L000170,C000170,Sarah Moore,Female,USA,Kansas,29,151493.0,Self-Employed,589.0,400293,3.79,72,Mortgage,Current,2025-05-17,Self-Employed
L000171,C000171,Nancy Williams,Female,USA,Michigan,30,92784.0,Salaried,837.0,444455,3.96,72,Mortgage,Current,2020-10-13,Salaried
L000172,C000172,Christopher Moore,Male,USA,Kansas,23,83223.0,Salaried,610.0,337209,8.32,180,Personal,Current,2024-09-01,Salaried
L000173,C000173,Robert Thomas,Male,USA,California,69,37739.0,Salaried,679.0,87950,9.72,48,Home Equity,Default,2021-03-24,Salaried
L000174,C000174,John Brown,Male,USA,Arizona,49,54616.0,Unemployed,683.0,416430,7.99,120,Student,Current,2025-03-30,Unemployed
L000175,C000175,Donna Anderson,Female,USA,Delaware,27,118400.0,Government,763.0,338244,3.36,24,Personal,Current,2020-01-30,Government
L000176,C000176,John Martin,Male,USA,Illinois,46,115676.0,Salaried,680.0,317079,5.67,120,Home Equity,Current,2025-08-01,Salaried
L000177,C000177,Jennifer Wilson,Female,USA,Hawaii,28,95283.0,Self-Employed,512.0,357970,17.09,240,Auto,Current,2023-11-28,Self-Employed
L000178,C000178,Donald Rodriguez,Male,USA,Rhode Island,63,126581.0,Self-Employed,673.0,337708,11.58,72,Student,Current,2024-04-29,Self-Employed
L000179,C000179,Lisa Moore,Female,USA,Idaho,33,140252.0,Salaried,585.0,159932,15.81,120,Home Equity,Current,2023-07-24,Salaried
L000180,C000180,Robert Jackson,Male,USA,Mississippi,55,45545.0,Salaried,535.0,13781,3.77,36,Auto,Current,2018-05-01,Salaried
L000181,C000181,Daniel Jones,Male,USA,Alabama,39,70176.0,Government,670.0,220702,3.11,48,Personal,Paid Off,2023-02-13,Government
L000182,C000182,Richard Rodriguez,Male,USA,New York,66,41602.0,Salaried,593.0,26881,14.73,72,Mortgage,Current,2021-12-20,Salaried
L000183,C000183,Emily Garcia,Female,USA,Oregon,42,86413.0,Part-Time,562.0,209986,8.77,12,Mortgage,Foreclosed,2026-06-21,Part-Time
L000184,C000184,Nancy Thompson,Female,USA,Illinois,36,53047.0,Self-Employed,567.0,241894,8.54,12,Student,Current,2020-06-25,Self-Employed
L000185,C000185,John Wilson,Male,USA,Montana,35,156160.0,Salaried,640.0,14243,6.57,120,Mortgage,Paid Off,2021-06-14,Salaried
L000186,C000186,Donna Rodriguez,Female,USA,Washington,22,98983.0,Part-Time,633.0,54641,5.41,72,Mortgage,Delinquent,2026-05-16,Part-Time
L000187,C000187,Jessica Smith,Female,USA,Hawaii,58,169348.0,Salaried,645.0,48972,15.43,360,Mortgage,Delinquent,2021-02-08,Salaried
L000188,C000188,Barbara Anderson,Female,USA,Colorado,41,152520.0,Part-Time,763.0,211167,3.92,48,Personal,Paid Off,2020-10-07,Part-Time
